,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,b1,b2,b3,b4,b5,r1,r2,r3,r4,r5
1628,Nautilus,Gragas,Azir,Lucian,Thresh,Maokai,Kindred,Kassadin,Ezreal,Trundle,Jhin, Graves, Corki,,,Poppy, Nidalee, Sivir,,
1629,Poppy,Kindred,Lissandra,Sivir,Alistar,Ekko,Gragas,Azir,Jhin,Thresh,Trundle, Varus, Corki,,,Nidalee, Graves, Kassadin,,
1630,Maokai,Elise,Gangplank,Sivir,Morgana,Nautilus,Gragas,Azir,Jhin,Alistar,Graves, Corki, Kindred,,,Poppy, Nidalee, Trundle,,
1631,Nautilus,Graves,Lissandra,Jhin,Thresh,Gragas,Elise,Gangplank,Sivir,Alistar,Trundle, Varus, Corki,,,Nidalee, Maokai, Poppy,,
1632,Gragas,Kindred,Orianna,Lucian,Alistar,Poppy,Nidalee,Lissandra,Ezreal,Braum,Ryze, Thresh, Sivir,,,Lulu, Azir, Jhin,,
1633,Poppy,Gragas,Varus,Jhin,Trundle,Gangplank,LeeSin,Lissandra,Lucian,Janna,Ryze, Thresh, Sivir,,,Lulu, Azir, Alistar,,
1634,Gangplank,Nidalee,Corki,Lucian,Alistar,Poppy,LeeSin,Leblanc,Sivir,Trundle,Lulu, Orianna, Azir,,,Ryze, Thresh, Lissandra,,
1635,Poppy,Kindred,Lissandra,Lucian,Bard,Ekko,Graves,Kassadin,Corki,Braum,TwistedFate, Nidalee, Thresh,,,Alistar, Sivir, Azir,,
1636,Ekko,Graves,Corki,Sivir,Bard,Maokai,Kindred,Karma,Lucian,Braum,Azir, Alistar, Trundle,,,TwistedFate, Nidalee, Thresh,,
1637,Ekko,LeeSin,Lissandra,Sivir,Braum,Maokai,Graves,Kassadin,Lucian,Alistar,Azir, Karma, Kindred,,,TwistedFate, Nidalee, Thresh,,
1638,Trundle,Elise,Leblanc,Sivir,Alistar,Ekko,Gragas,Lulu,Lucian,Braum,Azir, Kindred, Kassadin,,,TwistedFate, Nidalee, Lissandra,,
1639,Poppy,Gragas,Orianna,Lucian,Braum,Ekko,Graves,Leblanc,Sivir,Alistar,TwistedFate, Nidalee, Lissandra,,,Kindred, Azir, Karma,,
1640,Trundle,Graves,Lissandra,Kalista,Thresh,Ekko,LeeSin,Kassadin,Sivir,Alistar,Zed, Kindred, Braum,,,Nidalee, Bard, Poppy,,
1641,Ekko,Nidalee,Zed,Ezreal,Alistar,Poppy,Graves,Ryze,Lucian,Thresh,Bard, Braum, Lulu,,,Lissandra, Sivir, Kindred,,
1642,Poppy,Kindred,Lissandra,Sivir,Nautilus,Trundle,Graves,Ryze,Lucian,Thresh,Bard, Braum, Lulu,,,Ekko, Alistar, Nidalee,,
1643,Gragas,Graves,Lissandra,Sivir,Thresh,Ekko,Kindred,Ryze,Kalista,Janna,Bard, Lulu, Trundle,,,Alistar, Nidalee, Braum,,
1644,Maokai,Kindred,Ryze,Kalista,Thresh,Ekko,Graves,Azir,Ezreal,Trundle,Braum, Zed, Alistar,,,Nidalee, Lucian, TwistedFate,,
1645,Maokai,Kindred,Ryze,Kalista,Thresh,Ekko,Graves,Azir,Ezreal,Trundle,Zed, Braum, Alistar,,,Nidalee, Lucian, TwistedFate,,
1646,Maokai,Kindred,Lissandra,Corki,Alistar,Gragas,Graves,Kassadin,Ezreal,Braum,Zed, Ekko, Azir,,,Nidalee, Lucian, Ryze,,
1647,Maokai,Kindred,Ryze,Sivir,Braum,Trundle,Graves,Cassiopeia,Corki,Alistar,Zed, Ekko, Azir,,,Nidalee, Lissandra, Lucian,,
1648,Poppy,Kindred,Ryze,Corki,Braum,Maokai,Graves,Orianna,Ezreal,Trundle,Zed, Ekko, Azir,,,Nidalee, Lissandra, Lucian,,
1649,Ekko,Kindred,Orianna,Ezreal,Trundle,Maokai,Graves,Leblanc,Sivir,Braum,Zed, Ryze, Nidalee,,,Alistar, Lucian, Azir,,
1650,Ekko,Kindred,Orianna,Kalista,Thresh,Trundle,Graves,TwistedFate,Sivir,Braum,Ryze, Nidalee, Leblanc,,,Lucian, Alistar, Azir,,
1651,Maokai,Kindred,Azir,Ezreal,Braum,Ekko,Graves,Zed,Sivir,Bard,Ryze, Nidalee, Leblanc,,,Lucian, Alistar, Kalista,,
1652,Gragas,Elise,Lissandra,Sivir,Braum,Ekko,Kindred,Zed,Caitlyn,Janna,Ryze, Nidalee, Leblanc,,,Lucian, Alistar, Kalista,,
1653,Gnar,Gragas,Vladimir,Jhin,Karma,Kennen,RekSai,Ryze,Ashe,Braum,Gangplank, Kassadin, Bard,,,Lissandra, Nidalee, Shen,,
1654,Irelia,Graves,Kassadin,Ashe,Alistar,Trundle,Elise,Ekko,Sivir,Taric,Lissandra, Nidalee, Cassiopeia,,,Shen, RekSai, Ryze,,
1655,Gnar,RekSai,Vladimir,Corki,Bard,Irelia,Elise,Cassiopeia,Sivir,TahmKench,Lissandra, Nidalee, Taric,,,Shen, Ryze, Kassadin,,
1656,Irelia,RekSai,Kassadin,Lucian,Braum,Gnar,Elise,Ryze,Sivir,Alistar,Lissandra, Taric, Nidalee,,,Shen, Kennen, Bard,,
1657,Ekko,Elise,Vladimir,Tristana,Taric,Gangplank,Nidalee,Lissandra,Sivir,Braum,Kassadin, Irelia, Gnar,,,RekSai, Shen, Lucian,,
1658,Gnar,Graves,Lissandra,Lucian,Braum,Gangplank,Nidalee,Vladimir,Sivir,Taric,Ekko, Gragas, Elise,,,Shen, RekSai, Irelia,,
1659,Shen,Hecarim,Vladimir,Sivir,Taric,Gangplank,Nidalee,Cassiopeia,Lucian,Trundle,Kassadin, Irelia, Gnar,,,RekSai, Ekko, Elise,,
1660,Ekko,RekSai,Taliyah,Lucian,Taric,Gnar,Gragas,Vladimir,Ashe,TahmKench,Bard, Kassadin, AurelionSol,,,Elise, Shen, Sivir,,
1661,Ekko,RekSai,Vladimir,Ashe,Taric,Gnar,Gragas,Taliyah,Jhin,TahmKench,Bard, Kassadin, AurelionSol,,,Elise, Shen, Sivir,,
1662,Gangplank,RekSai,Vladimir,Ashe,TahmKench,Gnar,Gragas,Taliyah,Jhin,Braum,Bard, Kassadin, AurelionSol,,,Elise, Shen, Sivir,,
1663,Gangplank,RekSai,Vladimir,Ashe,TahmKench,Gnar,Gragas,Malzahar,Sivir,Karma,Bard, Kassadin, AurelionSol,,,Elise, Shen, Taliyah,,
1664,Gangplank,RekSai,Vladimir,Lucian,Karma,Gnar,Gragas,Malzahar,Sivir,TahmKench,Bard, Kassadin, AurelionSol,,,Elise, Shen, Taliyah,,
1665,Gangplank,RekSai,Vladimir,Jhin,TahmKench,Gnar,Elise,Anivia,Ashe,Braum,Kassadin, Ryze, Irelia,,,Malzahar, Shen, Sivir,,
1666,Shen,Gragas,Kassadin,Lucian,Taric,Gnar,RekSai,Lissandra,Sivir,Trundle,TahmKench, Malzahar, Gangplank,,,Ryze, Vladimir, Ashe,,
1667,Shen,Gragas,Leblanc,Lucian,Taric,Gnar,RekSai,Taliyah,Sivir,Soraka,TahmKench, Malzahar, Gangplank,,,Ryze, Vladimir, Kassadin,,
1668,Gnar,Elise,Malzahar,Tristana,Braum,Irelia,Gragas,Vladimir,Sivir,Taric,Ryze, Kassadin, RekSai,,,TahmKench, Shen, Ashe,,
1669,Gangplank,RekSai,Vladimir,Ashe,TahmKench,Shen,Gragas,Cassiopeia,Sivir,Karma,Ekko, Taliyah, Gnar,,,Ryze, Kassadin, Elise,,
1670,Gnar,RekSai,Vladimir,Lucian,Trundle,Shen,Gragas,Cassiopeia,Ashe,TahmKench,Ekko, Taliyah, Sivir,,,Ryze, Kassadin, Jhin,,
1671,Gnar,RekSai,Viktor,Lucian,Trundle,Shen,Elise,Vladimir,Tristana,Braum,Sivir, Taliyah, Ekko,,,Ryze, Kassadin, Anivia,,
1672,Kennen,Gragas,Leblanc,Lucian,Braum,Gnar,Nidalee,Taliyah,Sivir,Taric,Shen, RekSai, Vladimir,,,Ryze, Kassadin, Elise,,
1673,Shen,Hecarim,Syndra,Sivir,TahmKench,Gangplank,Gragas,Ekko,Lucian,Trundle,Vladimir, Kassadin, Elise,,,Taliyah, RekSai, Gnar,,
1674,Gnar,RekSai,Ekko,Lucian,Soraka,Shen,Gragas,Vladimir,Sivir,Karma,Kassadin, TahmKench, Taliyah,,,Elise, Trundle, Gangplank,,
1675,Gnar,Gragas,Vladimir,Sivir,TahmKench,Shen,RekSai,Malzahar,Caitlyn,Karma,Kassadin, Taliyah, Ryze,,,Elise, Trundle, Gangplank,,
1676,Shen,Elise,Vladimir,Jhin,Braum,Fiora,RekSai,Ryze,Ashe,TahmKench,Taliyah, Malzahar, Gnar,,,Gangplank, Sivir, Kassadin,,
1677,Gnar,Elise,Taliyah,Sivir,Trundle,Shen,Nidalee,Karma,Ashe,Alistar,Kassadin, Ryze, Anivia,,,Cassiopeia, RekSai, Vladimir,,
1678,Gangplank,Elise,Vladimir,Lucian,Braum,Shen,Nidalee,Anivia,Sivir,Taric,Kassadin, Karma, Ryze,,,Cassiopeia, RekSai, Gnar,,
1679,Gnar,RekSai,Malzahar,Sivir,TahmKench,Shen,Elise,Vladimir,Vayne,Alistar,Kassadin, Karma, Nidalee,,,Cassiopeia, Ekko, Ryze,,
1680,Gangplank,RekSai,Taliyah,Jhin,Bard,Shen,Gragas,Kassadin,Tristana,TahmKench,Elise, Vladimir, Nidalee,,,Ekko, Braum, Sivir,,
1681,Yasuo,RekSai,Vladimir,Lucian,Trundle,Gnar,Elise,Ryze,Sivir,Karma,Shen, Kassadin, TahmKench,,,Ekko, Braum, Gangplank,,
1682,Shen,Elise,Vladimir,Sivir,Bard,Maokai,Nidalee,Taliyah,Lucian,Trundle,Ekko, Braum, Yasuo,,,Kassadin, RekSai, Karma,,
1683,Renekton,Elise,Ryze,Sivir,Braum,Kennen,RekSai,Taliyah,Lucian,Trundle,Gnar, Gangplank, TahmKench,,,Vladimir, Shen, Kassadin,,
1684,Shen,Gragas,Ryze,Sivir,Karma,Gangplank,Nidalee,Taliyah,Lucian,Trundle,Gnar, RekSai, TahmKench,,,Vladimir, Kassadin, Elise,,
1685,Gangplank,RekSai,Malzahar,Jhin,Bard,Shen,Gragas,Ryze,Ezreal,TahmKench,Vladimir, Kassadin, Elise,,,Taliyah, Sivir, Gnar,,
1686,Shen,Nidalee,Karma,Sivir,Bard,Gangplank,Elise,Malzahar,Lucian,Trundle,Gnar, RekSai, TahmKench,,,Vladimir, Kassadin, Ryze,,
1687,Gangplank,Gragas,Malzahar,Jhin,Bard,Shen,Nidalee,Karma,Lucian,Alistar,Vladimir, Kassadin, Ashe,,,Sivir, TahmKench, RekSai,,
1688,Maokai,RekSai,Ryze,Ashe,Karma,Shen,Khazix,Syndra,Varus,Zyra,Jayce, Camille, Cassiopeia, Rumble, Kennen,Leblanc, Rengar, Katarina, MissFortune, TahmKench
1689,Maokai,Nocturne,Syndra,Ashe,Zyra,Rumble,RekSai,Ekko,Varus,MissFortune,Katarina, TahmKench, Ryze, Jayce, Talon,Camille, Rengar, Leblanc, Khazix, Kennen
1690,Shen,RekSai,Taliyah,Ashe,Zyra,Maokai,LeeSin,Ryze,Ezreal,Nami,Katarina, Jhin, Karma, Rumble, Varus,Rengar, Camille, Leblanc, Syndra, Orianna
1691,Nautilus,LeeSin,Ryze,Ezreal,Zyra,Maokai,RekSai,Syndra,Ashe,MissFortune,Jayce, Shen, Ivern, Fiora, Trundle,Rengar, Camille, Leblanc, Varus, Jhin
1692,Rumble,Ivern,Syndra,Ashe,MissFortune,Shen,LeeSin,Orianna,Kennen,Zyra,Katarina, Jhin, Ryze, Varus, Ezreal,Camille, Rengar, Leblanc, RekSai, Khazix
1693,Maokai,Khazix,Syndra,Jhin,Thresh,Illaoi,RekSai,Corki,Varus,Nautilus,Zyra, Malzahar, Katarina, Jayce, Fiora,Rengar, Leblanc, Camille, TahmKench, Shen
1694,Rumble,Khazix,Orianna,Varus,Malzahar,Kennen,RekSai,Ryze,Ashe,Karma,Zyra, Illaoi, Leblanc, Jayce,,Rengar, Camille, Shen, Syndra, Maokai
1695,Maokai,RekSai,Syndra,Ashe,Taric,Nautilus,Khazix,Ekko,Varus,Karma,Zyra, Illaoi, Leblanc, Corki, Jayce,Rengar, Malzahar, Camille, Rumble, TahmKench
1696,Nautilus,Rengar,Taliyah,Jhin,Malzahar,Poppy,Ivern,Kassadin,Caitlyn,Lulu,Ryze, Rumble, Shen, Ashe, Varus,Leblanc, Syndra, Camille, Maokai, Jayce
1697,Camille,Rumble,Orianna,Caitlyn,Lulu,Fiora,Olaf,Taliyah,Jhin,Malzahar,Syndra, Leblanc, LeeSin, Shen, Poppy,Ryze, Rengar, Ivern, Ashe, Varus
1698,Maokai,LeeSin,Taliyah,Ashe,Zyra,Rumble,Khazix,Leblanc,Jhin,TahmKench,Shen, Jayce, MissFortune, Karma, Malzahar,Rengar, Camille, Ryze, Elise, Poppy
1699,Shen,LeeSin,Leblanc,Ashe,Zyra,Gangplank,RekSai,Ryze,Varus,TahmKench,Elise, Jhin, Fiora, MissFortune, Karma,Rengar, Camille, Khazix, Maokai, Jayce
1700,Rumble,LeeSin,Jayce,Jhin,Zyra,Shen,RekSai,Syndra,Varus,Karma,Taliyah, Khazix, TahmKench, MissFortune, Ashe,Rengar, Camille, Leblanc, Elise, Ryze
1701,Kled,Ivern,Katarina,Jhin,Malzahar,Rumble,Khazix,Cassiopeia,Ashe,TahmKench,Zyra, Syndra, Lulu, Ryze, MissFortune,Leblanc, Rengar, Camille, Jayce, Taliyah
1702,Jayce,Olaf,Cassiopeia,Varus,Zyra,Shen,Rumble,Ryze,Jhin,Bard,Ivern, Khazix, Camille, TahmKench, Zac,Rengar, Leblanc, Malzahar, RekSai, LeeSin
1703,Rumble,Hecarim,Jayce,Varus,Zyra,Poppy,Zac,Ryze,Jhin,TahmKench,Ivern, Khazix, Camille, Shen, Bard,Rengar, Leblanc, Malzahar, RekSai, LeeSin
1704,Shen,Khazix,Syndra,Jhin,Thresh,Poppy,Elise,Corki,Varus,Bard,Zyra, Malzahar, Ryze, Fiora, TahmKench,Camille, Rengar, Leblanc, Jayce, Rumble
1705,Maokai,LeeSin,Syndra,Jhin,Malzahar,Kennen,Khazix,Orianna,Varus,TahmKench,Jayce, Zyra, MissFortune, Rumble,,Rengar, Camille, Leblanc, Shen, Ryze
1706,Shen,Rengar,Corki,Ashe,Karma,Nautilus,Ivern,Jayce,Caitlyn,Nami,Zyra, Malzahar, Ryze, TahmKench, Thresh,Camille, Leblanc, Khazix, Poppy, Maokai
1707,Nautilus,Rengar,Mordekaiser,Jhin,Karma,Poppy,Olaf,Katarina,Varus,TahmKench,Zyra, Malzahar, Ryze, Fiora, Syndra,Camille, Leblanc, Shen, Maokai, Corki
1708,Maokai,Khazix,Corki,Varus,Zyra,Illaoi,Elise,Syndra,Ashe,Malzahar,Shen, Jhin, LeeSin, Poppy,,Camille, Rengar, Leblanc, Jayce, Fiora
1709,Maokai,RekSai,Syndra,Jhin,Malzahar,Shen,Graves,Corki,Varus,Lulu,Jayce, Zyra, Khazix, Nocturne,,Camille, Leblanc, Rengar, Poppy, Gangplank
1710,Illaoi,RekSai,Taliyah,Varus,Zyra,Maokai,Khazix,Ryze,Ashe,MissFortune,Shen, Jhin, Malzahar, Syndra, Katarina,Rengar, Camille, Leblanc, Fiora, Jayce
1711,Maokai,Khazix,Syndra,Ashe,Zyra,Shen,Ivern,Katarina,Jhin,Thresh,Ryze, Poppy, TahmKench, Lulu, Bard,Leblanc, Camille, Rengar, Rumble, Varus
1712,Rumble,Khazix,Corki,Varus,Zyra,Jayce,Zac,Orianna,Jhin,Bard,Ryze, Ivern, Shen, Katarina, Kassadin,Leblanc, Camille, Rengar, Malzahar, Syndra
1713,Trundle,Rengar,Ryze,Ashe,Malzahar,Nautilus,LeeSin,Syndra,Jhin,Alistar,Zyra, Rumble, Khazix, Jayce, Maokai,Camille, Shen, Leblanc, Poppy, Varus
1714,Shen,RekSai,Leblanc,Ashe,Bard,Jayce,Khazix,Corki,Varus,TahmKench,Zyra, Malzahar, Ryze, Rumble, Gangplank,Rengar, Camille, LeeSin, Jhin, Thresh
1715,Poppy,Ivern,Ryze,Jhin,Malzahar,Maokai,RekSai,KogMaw,Ashe,Karma,Zyra, MissFortune, Khazix, Syndra, Jayce,Rengar, Camille, Leblanc, Shen, Katarina
1716,Shen,Khazix,Orianna,Varus,Taric,Maokai,Ivern,Cassiopeia,Jhin,Thresh,Zyra, Malzahar, Ryze, Katarina, TahmKench,Rengar, Camille, Leblanc, Syndra, Amumu
1717,Shen,Khazix,Corki,Jhin,Bard,Maokai,RekSai,Orianna,Varus,TahmKench,Zyra, Malzahar, Jayce, Rumble, Poppy,Camille, Rengar, Leblanc, Taliyah, Ryze
1718,Rumble,Khazix,Corki,Varus,Lulu,Jayce,Olaf,Ryze,Caitlyn,Malzahar,Shen, Camille, Ivern, Ashe, Jhin,Leblanc, Zyra, Rengar, Poppy, Maokai
1719,Maokai,Khazix,Taliyah,Ashe,Nautilus,Shen,Nocturne,Ryze,Varus,Karma,Jayce, Zyra, Malzahar, Fiora, Elise,Rengar, Camille, Leblanc, Syndra, Cassiopeia
1720,Rumble,Rengar,Ryze,Sivir,Karma,Maokai,Khazix,Orianna,Ashe,Nautilus,Zyra, Malzahar, Jayce, Syndra, Cassiopeia,Leblanc, Camille, Shen, Fiora, Poppy
1721,Shen,Khazix,Ryze,Ashe,Zyra,Maokai,RekSai,Syndra,Varus,MissFortune,Jayce, Malzahar, Sivir, Fiora,,Rengar, Camille, Leblanc, Poppy, Illaoi
1722,Rumble,Khazix,Corki,Jhin,Karma,Shen,Warwick,Katarina,Varus,Lulu,Zyra, Malzahar, Ivern, Thresh, Bard,Leblanc, Camille, Rengar, Jayce, Gangplank
1723,Shen,Ivern,Ryze,Caitlyn,Bard,Maokai,LeeSin,Viktor,Varus,Zyra,Jayce, Syndra, Khazix, Rumble, Gangplank,Rengar, Leblanc, Camille, Jhin, Ashe
1724,Maokai,Khazix,Corki,Jhin,Karma,Shen,Warwick,Ryze,Varus,Lulu,Zyra, Malzahar, Ivern, Bard, Thresh,Camille, Leblanc, Rengar, Gangplank, Rumble
1725,Shen,Elise,Zed,Jhin,Zyra,Jayce,Ivern,Corki,Varus,TahmKench,MissFortune, Syndra, Khazix, Karma, Bard,Rengar, Camille, Leblanc, Katarina, Ryze
1726,Maokai,Ivern,Corki,Varus,Bard,Poppy,Elise,Katarina,Jhin,Karma,Zyra, Malzahar, Shen, Ryze, Syndra,Camille, Rengar, Leblanc, Thresh, Jayce
1727,Trundle,Ivern,Ryze,Varus,Malzahar,Shen,Khazix,Viktor,Ezreal,Zyra,Ashe, Jayce, TahmKench, Jhin, Caitlyn,Leblanc, Rengar, Camille, Rumble, Poppy
1728,Rumble,Khazix,Corki,Caitlyn,Malzahar,Jayce,Olaf,Zed,Varus,Lulu,Ryze, Ivern, Shen, TahmKench, Katarina,Camille, Leblanc, Rengar, Jhin, Ashe
1729,Camille,Olaf,Syndra,Sivir,Malzahar,Shen,Ivern,Corki,Varus,MissFortune,Jayce, Caitlyn, Khazix, Zyra, Lulu,Leblanc, Rengar, Ryze, Elise, Katarina
1730,Maokai,Ivern,Syndra,Varus,Karma,Shen,Graves,Ekko,Ashe,Zyra,Jayce, Malzahar, Jhin, Ryze, Warwick,Camille, Rengar, Leblanc, Cassiopeia, Corki
1731,Shen,RekSai,Ryze,Ashe,Zyra,Riven,Ivern,Taliyah,Jhin,Malzahar,Jayce, Varus, Khazix, Corki, Cassiopeia,Camille, Leblanc, Rengar, Graves, Warwick
1732,Camille,RekSai,Cassiopeia,MissFortune,Nami,Shen,Khazix,Corki,Caitlyn,Zyra,Jayce, Ivern, Varus, Ashe, Jhin,Rengar, Leblanc, Malzahar, Orianna, Syndra
1733,Shen,Khazix,Viktor,Jhin,Karma,Rumble,Elise,Jayce,Varus,Nami,Zyra, Malzahar, Ivern, Syndra, Cassiopeia,Camille, Rengar, Leblanc, Corki, Ryze
1734,Shen,Khazix,Ryze,Sivir,Karma,Maokai,Ivern,Camille,Varus,Soraka,Zyra, Malzahar, Syndra, Cassiopeia, Orianna,Leblanc, Rengar, Jayce, Jhin, Ashe
1735,Maokai,Khazix,Ryze,Varus,Karma,Nautilus,Ivern,Corki,Ezreal,Soraka,Zyra, Malzahar, Shen, Ashe, Jhin,Leblanc, Rengar, Camille, LeeSin, Graves
1736,Maokai,Khazix,Corki,Varus,Nami,Gnar,Ivern,Ryze,Jhin,Karma,Malzahar, Zyra, Shen, Soraka, Lulu,Leblanc, Rengar, Camille, Thresh, Jayce
1737,Shen,Ivern,Cassiopeia,Jhin,TahmKench,Trundle,Rumble,Ryze,Varus,Zyra,Jayce, Malzahar, Graves, Khazix, Gangplank,Camille, Leblanc, Rengar, Orianna, Katarina
1738,Maokai,Graves,Zilean,Varus,Zyra,Gangplank,Ivern,Corki,Jhin,TahmKench,Shen, Ryze, Rengar, Orianna, Katarina,Leblanc, Jayce, Camille, Rumble, Syndra
1739,Camille,Rumble,Orianna,Jhin,Nautilus,Shen,Ivern,Azir,Varus,Karma,Zyra, Malzahar, Jayce, Corki, Thresh,Leblanc, Rengar, Ryze, Gangplank, TahmKench
1740,Rumble,RekSai,Ryze,Jhin,Zyra,Shen,Graves,Corki,Varus,MissFortune,Ivern, Jayce, Camille, Gangplank, Syndra,Rengar, Leblanc, Khazix, LeeSin, Nocturne
1741,Maokai,Khazix,Jayce,Sivir,Karma,Rumble,RekSai,Ryze,Jhin,TahmKench,Malzahar, Zyra, Camille, Nocturne, Nami,Leblanc, Rengar, Ivern, Syndra, Cassiopeia
1742,Jayce,LeeSin,Orianna,Draven,Malzahar,Sion,Khazix,Corki,Jhin,Lulu,Zyra, Varus, Ivern, Urgot, Shen,Rengar, Leblanc, Camille, Cassiopeia, Syndra
1743,Camille,LeeSin,Orianna,Jhin,Zilean,Shen,Khazix,Ryze,Caitlyn,Malzahar,Zyra, Varus, Ivern, Sivir, Ashe,Rengar, Leblanc, Lulu, TahmKench, Syndra
1744,Gangplank,LeeSin,Varus,MissFortune,Zyra,Shen,Khazix,Cassiopeia,Jhin,Malzahar,Jayce, Ivern, Syndra, TahmKench, Corki,Rengar, Camille, Leblanc, Ryze, Orianna
1745,Shen,Khazix,Leblanc,Jhin,Malzahar,Gangplank,Ivern,Camille,Sivir,MissFortune,Zyra, Jayce, Varus, Ryze, Corki,Rengar, LeeSin, Olaf, Graves, Rumble
1746,Maokai,Ivern,Malzahar,Kennen,MissFortune,Shen,Graves,Xerath,Jhin,Zyra,Jayce, Rengar, Khazix, Syndra, Fiora,Varus, Leblanc, Camille, Poppy, Gangplank
1747,Fiora,Ivern,Ryze,Jhin,TahmKench,Maokai,Graves,Corki,Varus,Malzahar,Jayce, Zyra, Rumble, Elise, LeeSin,Leblanc, Rengar, Camille, MissFortune, Trundle
1748,Rumble,Warwick,Jayce,Jhin,TahmKench,Maokai,Ivern,Zed,Varus,Lulu,Zyra, Ryze, Malzahar, Corki, Syndra,Leblanc, Rengar, Camille, LeeSin, Elise
1749,Maokai,Khazix,Ryze,Varus,TahmKench,Shen,Graves,Taliyah,Jhin,Braum,Zyra, Malzahar, Camille, Karma, Cassiopeia,Rengar, Leblanc, Jayce, Gangplank, Rumble
1750,Rumble,Elise,Jayce,Jhin,TahmKench,Nautilus,Khazix,Corki,Varus,Bard,Zyra, Malzahar, Camille, Karma, Braum,Rengar, Leblanc, Ivern, Ryze, Graves
1751,Renekton,Graves,Orianna,Jhin,TahmKench,Poppy,Khazix,Ryze,Varus,Malzahar,Shen, Gangplank, Camille, Corki, Swain,Leblanc, Rengar, Jayce, Rumble, Maokai
1752,Rumble,Graves,Azir,Varus,Braum,Gnar,Ivern,Ryze,Jhin,TahmKench,Shen, Gangplank, Camille, Corki, Swain,Leblanc, Rengar, Jayce, Orianna, Cassiopeia
1753,Camille,LeeSin,Ryze,Ziggs,Karma,Rumble,RekSai,Cassiopeia,Jhin,Malzahar,Shen, Graves, Jayce, Ivern, Khazix,Rengar, Leblanc, Varus, Zyra, Lulu
1754,Gangplank,Ivern,Leblanc,Sivir,Zyra,Shen,LeeSin,Malzahar,Jhin,MissFortune,Varus, Camille, Ryze, Zed, Katarina,Rengar, Lulu, Rumble, Khazix, Graves
1755,Kled,LeeSin,Ryze,Varus,Karma,Rumble,Khazix,Corki,Jhin,Thresh,Shen, Graves, Jayce, Bard, Malzahar,Rengar, Leblanc, Camille, Nautilus, Maokai
1756,Poppy,Khazix,Leblanc,Ezreal,Nami,Maokai,LeeSin,Ryze,Jhin,Nautilus,Thresh, Shen, Jayce, TahmKench, Malzahar,Rengar, Camille, Varus, Sivir, Caitlyn
1757,Camille,Rengar,Taliyah,Draven,Malzahar,Poppy,LeeSin,Jayce,Jhin,Nami,Zyra, Shen, Leblanc, Zilean, Graves,Varus, Nautilus, Ryze, Corki, Ashe
1758,Maokai,LeeSin,Leblanc,Sivir,Karma,Gragas,Graves,Ryze,Jhin,Zyra,Varus, Camille, Jayce, Trundle, Fiora,Rumble, Shen, Rengar, TahmKench, Ashe
1759,Maokai,Camille,Azir,MissFortune,Zyra,Poppy,Graves,Ryze,Jhin,Karma,Rumble, Shen, Jayce, Sivir, TahmKench,Rengar, Leblanc, Varus, Nautilus, Ivern
1760,Rumble,Rengar,Cassiopeia,Jhin,Braum,Shen,LeeSin,Corki,Tristana,Karma,Varus, Ryze, Graves, Zed, Sivir,Leblanc, Camille, Jayce, Thresh, TahmKench
1761,Shen,Graves,Orianna,Varus,Karma,Singed,Khazix,Corki,Jhin,Braum,Jayce, Leblanc, Rumble, Gangplank, Maokai,Rengar, Camille, Ryze, Syndra, Cassiopeia
1762,Nautilus,Graves,Jayce,Varus,Zyra,Rumble,Nidalee,Syndra,Jhin,Braum,Ryze, Shen, Camille, Corki, Cassiopeia,Rengar, Leblanc, Evelynn, Maokai, Karma
1763,Maokai,Rengar,Orianna,Sivir,Lulu,Gragas,Khazix,Jayce,Jhin,Karma,Shen, Graves, Evelynn, Fiora, Rumble,Camille, Leblanc, Varus, Ryze, Nami
1764,Shen,Graves,Jayce,Varus,Zyra,Renekton,Elise,Orianna,Jhin,Malzahar,Rumble, Zilean, Draven, Syndra, Ryze,Rengar, Leblanc, Camille, Katarina, Ivern
1765,Rumble,LeeSin,Ahri,Jhin,Alistar,Maokai,Graves,Orianna,Ashe,Malzahar,Shen, Ivern, Leblanc, Syndra, Gnar,Rengar, Varus, Camille, Zilean, TahmKench
1766,Renekton,LeeSin,Ahri,Jhin,Malzahar,Trundle,Graves,Orianna,Ashe,Zyra,Shen, Ivern, Leblanc, Katarina, Nautilus,Rengar, Varus, Camille, Rumble, Syndra
1767,Nautilus,Graves,Syndra,Varus,Karma,Maokai,Khazix,Jayce,Jhin,Braum,Ryze, Camille, Malzahar, Thresh, TahmKench,Leblanc, Renekton, Zed, Ivern, LeeSin
1768,Nautilus,Khazix,Syndra,Varus,Malzahar,Gragas,Elise,Jayce,Jhin,Lulu,Ryze, Camille, LeeSin, Rumble, Maokai,Leblanc, Renekton, Zed, Graves, Ivern
1769,Camille,Rengar,Orianna,Ezreal,Lulu,Nautilus,Khazix,Syndra,Jhin,Malzahar,Shen, Jayce, Ryze, Renekton, Poppy,Varus, Elise, Leblanc, Ekko,
1770,Renekton,Nidalee,Ryze,Ashe,Malzahar,Olaf,Graves,Orianna,Ezreal,Camille,Elise, Rengar, Jayce, Ziggs, Caitlyn,Varus, Leblanc, Jhin, Khazix, LeeSin
