,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,b1,b2,b3,b4,b5,r1,r2,r3,r4,r5
5208,Fiora,Gragas,Taliyah,Ezreal,Trundle,Gnar,RekSai,Malzahar,Jhin,TahmKench,Elise, Bard, Vladimir,,,Gangplank, Sivir, Braum,,
5209,Trundle,Elise,TwistedFate,Ezreal,Braum,Irelia,Gragas,Cassiopeia,Lucian,Soraka,Sivir, Gangplank, Gnar,,,Malzahar, Vladimir, Jhin,,
5210,Gangplank,Elise,Varus,Karma,Ashe,Irelia,RekSai,Malzahar,Jhin,Braum,,,,,,Bard, Cassiopeia, Vladimir,,
5211,Trundle,Gragas,Viktor,Sivir,Braum,Irelia,Elise,Cassiopeia,Jhin,Janna,Bard, Leblanc, Gangplank,,,Azir, Vladimir, Karma,,
5212,Irelia,RekSai,Cassiopeia,Sivir,Karma,TahmKench,Elise,Varus,Jhin,Braum,Vladimir, Viktor, Azir,,,TwistedFate, Malzahar, Fiora,,
5213,Irelia,Nidalee,Taliyah,Jhin,Trundle,Riven,RekSai,Cassiopeia,Ezreal,Karma,Gragas, Malzahar, Bard,,,Braum, Vladimir, Soraka,,
5214,Ekko,Hecarim,Azir,Ashe,Braum,Irelia,RekSai,Cassiopeia,Lucian,Bard,Trundle, Taliyah, Gragas,,,Malzahar, Vladimir, Jhin,,
5215,Irelia,Nidalee,Vladimir,Sivir,Karma,Jax,RekSai,Viktor,Jhin,Alistar,Malzahar, Gragas, Bard,,,Taliyah, Trundle, Braum,,
5216,Gangplank,Gragas,Cassiopeia,Jhin,TahmKench,Irelia,RekSai,Viktor,Lucian,Braum,Taliyah, Karma, Leblanc,,,Malzahar, Vladimir, Sivir,,
5217,Irelia,Gragas,Kassadin,Jinx,Alistar,Illaoi,Elise,Cassiopeia,Lucian,Braum,Taliyah, Karma, Leblanc,,,Malzahar, Vladimir, Sivir,,
5218,Irelia,Gragas,Kassadin,Lucian,Thresh,Renekton,Nidalee,Cassiopeia,Jhin,Braum,Taliyah, Leblanc, Karma,,,Malzahar, Vladimir, Sivir,,
5219,Irelia,RekSai,Cassiopeia,Lucian,Trundle,Gnar,Graves,Lissandra,Sivir,Karma,Leblanc, Taliyah, Gragas,,,Vladimir, Gangplank, Jhin,,
5220,Shen,Nidalee,Malzahar,Lucian,Braum,Maokai,RekSai,Taliyah,KogMaw,Trundle,Karma, Gragas, Gnar,,,Vladimir, Jhin, Gangplank,,
5221,Shen,Gragas,Lissandra,Caitlyn,TahmKench,Ekko,RekSai,Cassiopeia,Lucian,Braum,Gangplank, Jhin, Gnar,,,Karma, Taliyah, Vladimir,,
5222,Poppy,RekSai,Ryze,Ashe,TahmKench,Maokai,LeeSin,Syndra,Jhin,Karma,Leblanc, Khazix, Zyra, Cassiopeia, Taliyah,Camille, Rengar, Elise, Malzahar, MissFortune
5223,Nautilus,Ivern,Ryze,Ezreal,Zyra,Poppy,RekSai,Syndra,Ashe,Karma,Elise, Camille, Jayce, Malzahar, MissFortune,Leblanc, Rengar, Khazix, Maokai, Sion
5224,Poppy,Elise,Corki,Ezreal,Malzahar,Sion,LeeSin,AurelionSol,Jhin,MissFortune,Leblanc, Khazix, Zyra, Syndra, Taliyah,Ryze, Camille, Rengar, Ashe, Varus
5225,Nautilus,Rengar,Ahri,Varus,Alistar,Poppy,RekSai,Taliyah,Kalista,Morgana,Ezreal, LeeSin, Ryze, Malzahar, MissFortune,Camille, Ashe, Leblanc, Syndra, Zyra
5226,Shen,Rengar,Cassiopeia,Jhin,MissFortune,Poppy,RekSai,Orianna,Caitlyn,TahmKench,Leblanc, Khazix, Ashe, Ahri, Varus,Camille, Ezreal, Ryze, Malzahar, Zyra
5227,Poppy,Rengar,Orianna,Ashe,TahmKench,Maokai,LeeSin,Taliyah,Varus,MissFortune,Jayce, Ryze, Zyra, Fiora, Corki,Camille, Leblanc, Khazix, Cassiopeia, Syndra
5228,Jayce,Ivern,Ekko,Jhin,MissFortune,Nautilus,Elise,Syndra,Ashe,TahmKench,Khazix, Leblanc, Orianna, Cassiopeia, Katarina,Camille, Zyra, Rengar, Ryze, Corki
5229,Maokai,Khazix,Viktor,Jhin,MissFortune,Poppy,Elise,Zilean,Varus,Zyra,Jayce, Ekko, Ryze, Corki, Taliyah,Camille, Leblanc, Rengar, Orianna, Syndra
5230,Maokai,Ivern,Corki,Jhin,Malzahar,Shen,Khazix,Ekko,Varus,TahmKench,Syndra, Leblanc, MissFortune, Fiora, Nautilus,Camille, Rengar, Zyra, Jayce, Kennen
5231,Fiora,Ivern,Corki,Varus,TahmKench,Gangplank,LeeSin,Syndra,Jhin,Brand,Rengar, Leblanc, Zyra, Kennen, Jayce,Camille, Ryze, Malzahar, MissFortune, Alistar
5232,Jayce,Khazix,Orianna,Jhin,Lulu,Poppy,Ivern,Corki,Varus,Malzahar,Fiora, Leblanc, Elise, Syndra, Ryze,Camille, Zyra, Rengar, Kennen, MissFortune
5233,Maokai,Elise,Syndra,Jhin,Malzahar,Poppy,Khazix,Ekko,Varus,Lulu,Jayce, MissFortune, Zyra, Kennen, Orianna,Camille, Rengar, Leblanc, Corki, Fiora
5234,Kennen,Elise,Corki,Jhin,Zyra,Jayce,Khazix,Cassiopeia,Varus,Malzahar,Syndra, Leblanc, MissFortune, Nasus, Ekko,Camille, Rengar, Ivern, Poppy, Nautilus
